Timestamp; Generation; Fittest; Average; Deviation; replayFitness; BehApp; Coverage; bestCandidate
2011-10-06 11:03:02 ; 0 ; 0,726743 ; 0,426606 ; 0,106301 ; 0,726743 ; 0,588095 ; 1 ; AND(SEQ(A+complete,SEQ(C+start,C+complete)),XOR(AND(B2+start,B2+complete),XOR(B1+complete,XOR(A+start,B1+start))))
2011-10-06 11:03:49 ; 1 ; 0,749249 ; 0,507434 ; 0,091644 ; 0,749249 ; 0,455612 ; 1 ; XOR(A+complete,XOR(B1+complete,XOR(XOR(B1+start,SEQ(A+start,SEQ(C+start,C+complete))),SEQ(B2+start,B2+complete))))
2011-10-06 11:04:36 ; 2 ; 0,749249 ; 0,55673 ; 0,098825 ; 0,749249 ; 0,428571 ; 1 ; XOR(SEQ(A+complete,SEQ(C+start,C+complete)),XOR(AND(B2+start,XOR(A+start,B1+start)),XOR(B1+complete,B2+complete)))
2011-10-06 11:05:16 ; 3 ; 0,888098 ; 0,629382 ; 0,103159 ; 0,888098 ; 0,566667 ; 1 ; SEQ(XOR(SEQ(B2+complete,B2+start),XOR(B1+complete,XOR(A+start,B1+start))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:05:59 ; 4 ; 0,888098 ; 0,639327 ; 0,112325 ; 0,888098 ; 0,566667 ; 1 ; SEQ(XOR(SEQ(B2+complete,B2+start),XOR(B1+complete,XOR(A+start,B1+start))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:06:46 ; 5 ; 0,888098 ; 0,65211 ; 0,119094 ; 0,888098 ; 0,566667 ; 1 ; SEQ(XOR(B1+complete,XOR(SEQ(B2+complete,B2+start),XOR(A+start,B1+start))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:07:30 ; 6 ; 0,888098 ; 0,675597 ; 0,114746 ; 0,888098 ; 0,566667 ; 0,908333 ; SEQ(XOR(C+complete,XOR(SEQ(B2+complete,B2+start),XOR(A+start,B1+start))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:08:16 ; 7 ; 0,888098 ; 0,680746 ; 0,130832 ; 0,888098 ; 0,566667 ; 0,925 ; SEQ(XOR(SEQ(C+start,B2+start),XOR(B1+complete,XOR(A+start,B1+start))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:08:56 ; 8 ; 0,888098 ; 0,728812 ; 0,120326 ; 0,888098 ; 0,566667 ; 1 ; SEQ(XOR(B1+start,XOR(B1+complete,XOR(A+start,SEQ(B2+complete,B2+start)))),SEQ(A+complete,SEQ(SEQ(C+start,C+complete))))
2011-10-06 11:09:40 ; 9 ; 0,888098 ; 0,732834 ; 0,146258 ; 0,888098 ; 0,566667 ; 1 ; SEQ(XOR(B1+start,XOR(B1+complete,XOR(A+start,SEQ(B2+complete,B2+start)))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:10:23 ; 10 ; 0,888098 ; 0,756533 ; 0,13274 ; 0,888098 ; 0,566667 ; 1 ; SEQ(XOR(SEQ(B1+start,B2+start),XOR(B1+complete,XOR(B2+complete,A+start))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:11:10 ; 11 ; 0,888098 ; 0,766923 ; 0,125744 ; 0,888098 ; 0,555556 ; 1 ; SEQ(XOR(B1+start,XOR(B1+complete,XOR(A+start,AND(B2+complete,B2+start)))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:11:56 ; 12 ; 0,888098 ; 0,784486 ; 0,112045 ; 0,888098 ; 0,555556 ; 1 ; SEQ(XOR(A+start,XOR(B1+complete,XOR(B2+start,XOR(B1+start,SEQ(B2+complete))))),SEQ(A+complete,SEQ(C+start,C+complete)))
2011-10-06 11:12:43 ; 13 ; 0,913071 ; 0,776785 ; 0,123359 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:13:30 ; 14 ; 0,913071 ; 0,748505 ; 0,142261 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:14:25 ; 15 ; 0,913071 ; 0,730205 ; 0,132952 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:15:06 ; 16 ; 0,913071 ; 0,782316 ; 0,121206 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:15:56 ; 17 ; 0,913071 ; 0,756808 ; 0,12609 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:16:42 ; 18 ; 0,913071 ; 0,759422 ; 0,133917 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:17:35 ; 19 ; 0,913071 ; 0,772903 ; 0,123026 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:18:15 ; 20 ; 0,913071 ; 0,808621 ; 0,127065 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:19:06 ; 21 ; 0,913071 ; 0,782863 ; 0,115311 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:19:48 ; 22 ; 0,913071 ; 0,793992 ; 0,115024 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:20:40 ; 23 ; 0,913071 ; 0,745351 ; 0,149013 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:21:34 ; 24 ; 0,913071 ; 0,765074 ; 0,135125 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:22:27 ; 25 ; 0,913071 ; 0,763829 ; 0,132333 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:23:27 ; 26 ; 0,913071 ; 0,735496 ; 0,12289 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:24:23 ; 27 ; 0,913071 ; 0,728198 ; 0,14024 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
2011-10-06 11:25:16 ; 28 ; 0,913071 ; 0,75259 ; 0,139801 ; 0,913071 ; 0,666667 ; 0,925 ; SEQ(XOR(A+start,B1+start),SEQ(XOR(B1+complete,XOR(SEQ(A+complete,B2+start),A+complete)),SEQ(C+start,C+complete)))
