Timestamp; Generation; Fittest; Average; Deviation; replayFitness; BehApp; Coverage; bestCandidate
2011-10-06 09:10:50 ; 0 ; 32 ; 6,363 ; 5,18201 ; 32 ; 32 ; 32 ; AND(SEQ(AND(XOR(A+complete,B2+complete),AND(A+start,B1+complete)),SEQ(B1+start,C+start)),AND(B2+start,C+complete))
2011-10-06 09:10:51 ; 1 ; 39 ; 11,548 ; 6,962162 ; 39 ; 39 ; 39 ; XOR(SEQ(XOR(AND(A+complete,B2+complete),C+complete),B2+complete),XOR(AND(B2+start,XOR(B1+complete,A+start)),B1+start))
2011-10-06 09:10:51 ; 2 ; 41 ; 15,334 ; 8,639586 ; 41 ; 41 ; 41 ; SEQ(XOR(SEQ(XOR(A+complete,C+complete),SEQ(AND(B2+complete),C+complete)),B1+start),AND(B2+start,AND(A+start,B1+complete)))
2011-10-06 09:10:51 ; 3 ; 48 ; 18,4 ; 9,870562 ; 48 ; 48 ; 48 ; AND(XOR(AND(XOR(A+complete,B1+complete),AND(C+complete,A+start)),SEQ(XOR(B1+start,B2+complete))),XOR(B2+start,B1+start))
2011-10-06 09:10:51 ; 4 ; 53 ; 19,729 ; 11,410677 ; 53 ; 53 ; 53 ; SEQ(XOR(AND(XOR(A+complete,B1+complete),AND(C+complete,A+start)),SEQ(XOR(B1+start,B2+complete))),XOR(B2+start,XOR(C+start)))
2011-10-06 09:10:51 ; 5 ; 55 ; 21,885 ; 12,545827 ; 55 ; 55 ; 55 ; AND(XOR(AND(XOR(A+complete,B1+complete),SEQ(A+start,C+complete)),SEQ(XOR(B1+start,B2+complete))),XOR(B2+start,SEQ(C+start)))
2011-10-06 09:10:51 ; 6 ; 60 ; 23,412 ; 14,08745 ; 60 ; 60 ; 60 ; AND(XOR(AND(XOR(A+complete,B1+complete),AND(C+complete,A+start)),SEQ(XOR(B1+start,B2+complete))),SEQ(A+start,XOR(B2+start)))
2011-10-06 09:10:51 ; 7 ; 60 ; 26,202 ; 15,200105 ; 60 ; 60 ; 60 ; SEQ(XOR(AND(XOR(A+complete,B1+complete),AND(C+complete,A+start)),SEQ(XOR(B1+start,B2+complete))),SEQ(C+start,B2+start))
2011-10-06 09:10:51 ; 8 ; 69 ; 26,977 ; 16,526357 ; 69 ; 69 ; 69 ; SEQ(XOR(AND(XOR(A+complete,B1+complete),AND(C+complete,A+start)),SEQ(XOR(B1+start,B2+complete))),XOR(C+start,C+complete))
2011-10-06 09:10:51 ; 9 ; 69 ; 28,497 ; 17,28722 ; 69 ; 69 ; 69 ; SEQ(XOR(AND(XOR(A+complete,B1+complete),AND(C+complete,A+start)),SEQ(XOR(B1+start,B2+complete))),XOR(C+start,C+complete))
